ID,X,Y,Z,Node,Drawdown_p,Drawdown_r
79,263535.3813,2744224.155,102.0037605,9985,-1.297643809,-1.048082113
80,263834.2803,2744244.331,101.8724675,10023,-2.039635015,-1.570205366
81,263818.458,2744252.957,101.6160895,10085,-2.694432648,-2.047047468
82,263634.7202,2744247.005,101.5961836,10087,-5.125451704,-4.329413348
83,263802.6357,2744261.584,101.3597116,10140,-3.427330514,-2.651033435
84,263475.3371,2744150.767,101.2929172,10154,-0.432168324,-0.331507887
85,263735.6485,2744261.587,101.255016,10164,-10.68425066,-7.259594085
86,263668.6612,2744261.591,101.1503204,10197,-13.96757556,-8.499642554
87,263865.4815,2744243.924,100.9614085,10239,-1.382889908,-0.969877858
88,263785.3415,2744269.519,100.8815593,10255,-4.333306748,-3.575147778
89,263849.6592,2744252.55,100.7050306,10311,-1.663051874,-1.246749423
90,263564.6487,2744249.574,100.6799967,10319,-1.917590455,-1.712682487
91,263415.8744,2744059.107,100.6424805,10334,-0.150515974,-0.120551093
92,263801.3762,2744277.232,100.5425098,10362,-3.643417313,-2.82699842
93,263271.69,2744222.669,100.4500641,10384,-0.120499682,-0.10995019
94,263833.8369,2744261.177,100.4486526,10385,-2.066462215,-1.624351896
95,263768.0474,2744277.455,100.4034071,10398,-6.053824714,-4.823228339
96,263334.9764,2744181.993,100.3517133,10417,-0.146832411,-0.127089382
97,263501.9277,2744208.748,100.3054319,10428,-0.782240107,-0.620441103
98,263701.0601,2744277.459,100.2987115,10429,-43.31230867,-14.60540591
99,263598.5897,2744264.16,100.2341334,10453,-3.268272179,-3.035717327
100,263818.0146,2744269.803,100.1922747,10459,-2.75516621,-2.125512875
101,263784.082,2744285.168,100.0643576,10492,-4.584165505,-3.721093123
102,263896.6827,2744243.517,100.0503496,10498,-0.918356338,-0.599562549
103,263750.7532,2744285.391,99.92525482,10533,-8.363126349,-6.516557525
104,263632.5307,2744278.745,99.7882702,10564,-6.255479479,-5.744195114
105,263800.1166,2744292.88,99.72530809,10584,-3.617052524,-2.858115316
106,263766.7878,2744293.104,99.58620533,10623,-5.805852774,-4.951589925
107,263865.0381,2744260.77,99.53759367,10636,-1.326534061,-0.937037584
108,263733.459,2744293.327,99.44710256,10660,-11.36241884,-9.165968392
109,263816.7551,2744285.452,99.37507294,10679,-2.851702214,-2.162012921
110,263666.4718,2744293.331,99.34240696,10685,-12.04807927,-15.07605492
111,263528.5182,2744266.728,99.31794648,10693,-1.215177213,-1.065020485
112,263849.2158,2744269.396,99.28121573,10703,-1.615583242,-1.232692869
113,263782.8225,2744300.816,99.24715584,10718,-4.461517304,-3.692886023
114,263749.4936,2744301.039,99.10805307,10755,-7.481315257,-6.751012789
115,263545.4887,2744274.021,99.09501486,10762,-1.481094115,-1.371737859
116,263833.3936,2744278.023,99.02483779,10778,-2.111879281,-1.609031143
117,263716.1648,2744301.263,98.9689503,10796,-16.25810149,-13.23303468
118,263798.8571,2744308.529,98.90810634,10814,-3.501586202,-2.742221542
119,263562.4592,2744281.314,98.87208325,10825,-1.894527777,-1.787736676
120,263765.5283,2744308.752,98.76900358,10860,-5.478206861,-4.835983774
121,263524.9645,2744283.44,98.73645709,10874,-1.122756005,-0.984938909
122,263989.9884,2744228.127,98.65316897,10898,-0.267838896,-0.200852851
